mjd,date,flag,ut1_minus_utc_s,ut1_minus_utc_error_s
41684,1973-01-02,I,0.8084178,0.0002710
41685,1973-01-03,I,0.8056163,0.0002710
41686,1973-01-04,I,0.8027895,0.0002710
41687,1973-01-05,I,0.7998729,0.0002710
41688,1973-01-06,I,0.7968144,0.0002710
41689,1973-01-07,I,0.7935822,0.0002710
41690,1973-01-08,I,0.7901710,0.0002710
41691,1973-01-09,I,0.7866053,0.0002710
41692,1973-01-10,I,0.7829389,0.0002710
41693,1973-01-11,I,0.7792487,0.0003439
41694,1973-01-12,I,0.7756218,0.0003895
41695,1973-01-13,I,0.7721359,0.0003986
41696,1973-01-14,I,0.7688378,0.0003986
41697,1973-01-15,I,0.7657235,0.0003986
41698,1973-01-16,I,0.7627325,0.0003986
41699,1973-01-17,I,0.7597608,0.0004261
41700,1973-01-18,I,0.7566931,0.0004579
41701,1973-01-19,I,0.7534441,0.0004814
41702,1973-01-20,I,0.7499880,0.0004814
41703,1973-01-21,I,0.7463651,0.0004814
41704,1973-01-22,I,0.7426621,0.0004814
41705,1973-01-23,I,0.7389789,0.0002710
41706,1973-01-24,I,0.7353998,0.0002710
41707,1973-01-25,I,0.7319778,0.0002710
41708,1973-01-26,I,0.7287348,0.0002710
41709,1973-01-27,I,0.7256670,0.0002710
41710,1973-01-28,I,0.7227502,0.0002710
41711,1973-01-29,I,0.7199427,0.0002710
41712,1973-01-30,I,0.7171871,0.0002710
41713,1973-01-31,I,0.7144166,0.0002710
41714,1973-02-01,I,0.7115628,0.0002710
41715,1973-02-02,I,0.7085656,0.0002710
41716,1973-02-03,I,0.7053831,0.0002710
41717,1973-02-04,I,0.7020005,0.0002710
41718,1973-02-05,I,0.6984370,0.0002710
41719,1973-02-06,I,0.6947473,0.0002710
41720,1973-02-07,I,0.6910149,0.0002710
41721,1973-02-08,I,0.6873348,0.0002710
41722,1973-02-09,I,0.6837911,0.0002710
41723,1973-02-10,I,0.6804349,0.0002710
41724,1973-02-11,I,0.6772686,0.0002710
41725,1973-02-12,I,0.6742427,0.0002710
41726,1973-02-13,I,0.6712667,0.0003693
41727,1973-02-14,I,0.6682328,0.0003693
41728,1973-02-15,I,0.6650466,0.0003693
41729,1973-02-16,I,0.6616571,0.0003693
41730,1973-02-17,I,0.6580719,0.0003693
41731,1973-02-18,I,0.6543535,0.0003693
41732,1973-02-19,I,0.6505970,0.0002710
41733,1973-02-20,I,0.6468995,0.0002710
41734,1973-02-21,I,0.6433358,0.0002710
41735,1973-02-22,I,0.6399465,0.0002710
41736,1973-02-23,I,0.6367394,0.0002710
41737,1973-02-24,I,0.6336961,0.0002710
41738,1973-02-25,I,0.6307782,0.0002710
41739,1973-02-26,I,0.6279321,0.0002710
41740,1973-02-27,I,0.6250933,0.0002710
41741,1973-02-28,I,0.6221928,0.0002710
41742,1973-03-01,I,0.6191649,0.0002710
41743,1973-03-02,I,0.6159565,0.0002710
41744,1973-03-03,I,0.6125364,0.0002710
41745,1973-03-04,I,0.6089055,0.0002710
41746,1973-03-05,I,0.6051039,0.0002710
41747,1973-03-06,I,0.6012100,0.0002710
41748,1973-03-07,I,0.5973269,0.0002710
41749,1973-03-08,I,0.5935565,0.0002710
41750,1973-03-09,I,0.5899692,0.0002710
41751,1973-03-10,I,0.5865821,0.0002710
41752,1973-03-11,I,0.5833541,0.0002710
41753,1973-03-12,I,0.5801992,0.0009126
41754,1973-03-13,I,0.5770120,0.0009126
41755,1973-03-14,I,0.5736970,0.0009126
41756,1973-03-15,I,0.5701931,0.0009126
41757,1973-03-16,I,0.5664886,0.0009126
41758,1973-03-17,I,0.5626220,0.0009126
41759,1973-03-18,I,0.5586697,0.0002710
41760,1973-03-19,I,0.5547245,0.0002710
41761,1973-03-20,I,0.5508716,0.0002710
41762,1973-03-21,I,0.5471712,0.0002710
41763,1973-03-22,I,0.5436500,0.0002710
41764,1973-03-23,I,0.5403039,0.0002710
41765,1973-03-24,I,0.5371033,0.0002710
41766,1973-03-25,I,0.5340013,0.0002710
41767,1973-03-26,I,0.5309397,0.0009499
41768,1973-03-27,I,0.5278547,0.0009499
41769,1973-03-28,I,0.5246836,0.0009499
41770,1973-03-29,I,0.5213715,0.0009499
41771,1973-03-30,I,0.5178783,0.0009499
41772,1973-03-31,I,0.5141868,0.0009499
41773,1973-04-01,I,0.5103137,0.0002710
41774,1973-04-02,I,0.5063163,0.0002710
41775,1973-04-03,I,0.5022885,0.0002710
41776,1973-04-04,I,0.4983412,0.0002710
41777,1973-04-05,I,0.4945702,0.0002710
41778,1973-04-06,I,0.4910225,0.0002710
41779,1973-04-07,I,0.4876799,0.0002710
41780,1973-04-08,I,0.4844647,0.0000063
41781,1973-04-09,I,0.4812696,0.0000370
41782,1973-04-10,I,0.4779933,0.0000370
41783,1973-04-11,I,0.4745689,0.0000370
41784,1973-04-12,I,0.4709778,0.0000370
41785,1973-04-13,I,0.4672468,0.0000370
41786,1973-04-14,I,0.4634359,0.0000519
41787,1973-04-15,I,0.4596221,0.0002710
41788,1973-04-16,I,0.4558821,0.0002710
41789,1973-04-17,I,0.4522776,0.0002710
41790,1973-04-18,I,0.4488449,0.0003700
41791,1973-04-19,I,0.4455907,0.0003700
41792,1973-04-20,I,0.4424939,0.0002801
41793,1973-04-21,I,0.4395122,0.0004449
41794,1973-04-22,I,0.4365897,0.0004801
41795,1973-04-23,I,0.4336648,0.0004298
41796,1973-04-24,I,0.4306768,0.0004434
41797,1973-04-25,I,0.4275726,0.0004434
41798,1973-04-26,I,0.4243110,0.0005055
41799,1973-04-27,I,0.4208678,0.0004060
41800,1973-04-28,I,0.4172431,0.0000402
41801,1973-04-29,I,0.4134697,0.0002710
41802,1973-04-30,I,0.4096171,0.0002710
41803,1973-05-01,I,0.4057844,0.0002710
41804,1973-05-02,I,0.4020762,0.0002710
41805,1973-05-03,I,0.3985685,0.0002710
41806,1973-05-04,I,0.3952777,0.0002710
41807,1973-05-05,I,0.3921511,0.0002710
41808,1973-05-06,I,0.3890860,0.0002710
41809,1973-05-07,I,0.3859701,0.0002710
41810,1973-05-08,I,0.3827218,0.0002710
41811,1973-05-09,I,0.3793140,0.0000870
41812,1973-05-10,I,0.3757735,0.0000870
41813,1973-05-11,I,0.3721634,0.0000870
41814,1973-05-12,I,0.3685599,0.0000870
41815,1973-05-13,I,0.3650348,0.0000870
41816,1973-05-14,I,0.3616450,0.0000870
41817,1973-05-15,I,0.3584266,0.0002710
41818,1973-05-16,I,0.3553922,0.0002395
41819,1973-05-17,I,0.3525297,0.0002395
41820,1973-05-18,I,0.3498042,0.0002395
41821,1973-05-19,I,0.3471638,0.0002395
41822,1973-05-20,I,0.3445481,0.0002395
41823,1973-05-21,I,0.3418967,0.0002395
41824,1973-05-22,I,0.3391570,0.0002710
41825,1973-05-23,I,0.3362893,0.0002710
41826,1973-05-24,I,0.3332699,0.0002710
41827,1973-05-25,I,0.3300944,0.0002710
41828,1973-05-26,I,0.3267817,0.0002710
41829,1973-05-27,I,0.3233789,0.0002710
41830,1973-05-28,I,0.3199611,0.0002710
41831,1973-05-29,I,0.3166201,0.0002710
41832,1973-05-30,I,0.3134398,0.0002710
41833,1973-05-31,I,0.3104640,0.0002710
41834,1973-06-01,I,0.3076727,0.0002710
41835,1973-06-02,I,0.3049837,0.0002710
41836,1973-06-03,I,0.3022809,0.0002710
41837,1973-06-04,I,0.2994605,0.0002710
41838,1973-06-05,I,0.2964705,0.0002710
41839,1973-06-06,I,0.2933252,0.0002710
41840,1973-06-07,I,0.2900913,0.0004509
41841,1973-06-08,I,0.2868582,0.0004509
41842,1973-06-09,I,0.2837086,0.0004509
41843,1973-06-10,I,0.2807024,0.0004509
41844,1973-06-11,I,0.2778733,0.0004509
41845,1973-06-12,I,0.2752317,0.0004509
41846,1973-06-13,I,0.2727668,0.0002710
41847,1973-06-14,I,0.2704483,0.0002710
41848,1973-06-15,I,0.2682287,0.0005702
41849,1973-06-16,I,0.2660491,0.0005702
41850,1973-06-17,I,0.2638477,0.0005702
41851,1973-06-18,I,0.2615698,0.0005702
41852,1973-06-19,I,0.2591741,0.0005702
41853,1973-06-20,I,0.2566369,0.0005702
41854,1973-06-21,I,0.2539551,0.0002710
41855,1973-06-22,I,0.2511461,0.0002710
41856,1973-06-23,I,0.2482491,0.0002321
41857,1973-06-24,I,0.2453232,0.0003459
41858,1973-06-25,I,0.2424429,0.0003459
41859,1973-06-26,I,0.2396828,0.0003459
41860,1973-06-27,I,0.2370944,0.0003459
41861,1973-06-28,I,0.2346823,0.0003459
41862,1973-06-29,I,0.2323922,0.0004307
41863,1973-06-30,I,0.2301216,0.0002710
41864,1973-07-01,I,0.2277557,0.0002710
41865,1973-07-02,I,0.2252119,0.0002710
41866,1973-07-03,I,0.2224729,0.0002710
41867,1973-07-04,I,0.2195902,0.0002710
41868,1973-07-05,I,0.2166607,0.0002710
41869,1973-07-06,I,0.2137885,0.0002710
41870,1973-07-07,I,0.2110549,0.0002710
41871,1973-07-08,I,0.2085047,0.0002710
41872,1973-07-09,I,0.2061493,0.0002710
41873,1973-07-10,I,0.2039750,0.0002710
41874,1973-07-11,I,0.2019501,0.0002710
41875,1973-07-12,I,0.2000285,0.0002710
41876,1973-07-13,I,0.1981521,0.0002710
41877,1973-07-14,I,0.1962575,0.0002710
41878,1973-07-15,I,0.1942844,0.0002710
41879,1973-07-16,I,0.1921851,0.0002710
41880,1973-07-17,I,0.1899311,0.0002710
41881,1973-07-18,I,0.1875170,0.0002710
41882,1973-07-19,I,0.1849610,0.0002710
41883,1973-07-20,I,0.1823037,0.0002710
41884,1973-07-21,I,0.1796035,0.0002710
41885,1973-07-22,I,0.1769293,0.0002710
41886,1973-07-23,I,0.1743483,0.0002710
41887,1973-07-24,I,0.1719096,0.0002710
41888,1973-07-25,I,0.1696270,0.0002710
41889,1973-07-26,I,0.1674656,0.0002710
41890,1973-07-27,I,0.1653434,0.0002710
41891,1973-07-28,I,0.1631514,0.0002710
41892,1973-07-29,I,0.1607898,0.0002710
41893,1973-07-30,I,0.1582066,0.0002710
41894,1973-07-31,I,0.1554181,0.0002710
41895,1973-08-01,I,0.1525044,0.0002710
41896,1973-08-02,I,0.1495778,0.0002710
41897,1973-08-03,I,0.1467448,0.0002710
41898,1973-08-04,I,0.1440777,0.0002710
41899,1973-08-05,I,0.1416050,0.0002710
41900,1973-08-06,I,0.1393192,0.0002710
41901,1973-08-07,I,0.1371881,0.0002710
41902,1973-08-08,I,0.1351648,0.0002710
41903,1973-08-09,I,0.1331923,0.0002710
41904,1973-08-10,I,0.1312073,0.0002710
41905,1973-08-11,I,0.1291470,0.0000927
41906,1973-08-12,I,0.1269571,0.0002206
41907,1973-08-13,I,0.1246002,0.0002206
41908,1973-08-14,I,0.1220622,0.0002482
41909,1973-08-15,I,0.1193548,0.0002482
41910,1973-08-16,I,0.1165163,0.0002183
41911,1973-08-17,I,0.1136071,0.0002464
41912,1973-08-18,I,0.1107006,0.0002161
41913,1973-08-19,I,0.1078680,0.0002161
41914,1973-08-20,I,0.1051613,0.0010326
41915,1973-08-21,I,0.1025971,0.0009113
41916,1973-08-22,I,0.1001482,0.0011148
41917,1973-08-23,I,0.0977447,0.0011148
41918,1973-08-24,I,0.0952896,0.0011148
41919,1973-08-25,I,0.0926851,0.0011148
41920,1973-08-26,I,0.0898626,0.0005990
41921,1973-08-27,I,0.0868080,0.0002710
41922,1973-08-28,I,0.0835702,0.0002710
41923,1973-08-29,I,0.0802474,0.0002710
41924,1973-08-30,I,0.0769554,0.0002710
41925,1973-08-31,I,0.0737935,0.0002710
41926,1973-09-01,I,0.0708212,0.0002710
41927,1973-09-02,I,0.0680534,0.0006676
41928,1973-09-03,I,0.0654699,0.0006676
41929,1973-09-04,I,0.0630280,0.0005035
41930,1973-09-05,I,0.0606731,0.0005035
41931,1973-09-06,I,0.0583445,0.0008448
41932,1973-09-07,I,0.0559804,0.0007750
41933,1973-09-08,I,0.0535242,0.0008076
41934,1973-09-09,I,0.0509322,0.0008076
41935,1973-09-10,I,0.0481788,0.0009735
41936,1973-09-11,I,0.0452619,0.0009735
41937,1973-09-12,I,0.0422068,0.0005113
41938,1973-09-13,I,0.0390659,0.0002710
41939,1973-09-14,I,0.0359132,0.0004237
41940,1973-09-15,I,0.0328289,0.0006062
41941,1973-09-16,I,0.0298786,0.0006062
